season,team,number,player,position,games,games_started,age,college
2023,DAL,5,Bryan Anger,P,17,0,35,California
2023,DAL,92,Dorance Armstrong,LB,17,1,26,Kansas
2023,DAL,17,Brandon Aubrey,K,17,0,28,Notre Dame
2023,DAL,66,T.J. Bass,OG,17,2,24,Oregon
2023,DAL,14,Markquese Bell,DB,17,8,24,Florida A&M
2023,DAL,63,Tyler Biadasz,C,16,16,25,Wisconsin
2023,DAL,26,DaRon Bland,DB,17,15,24,Fresno State
2023,DAL,83,Jalen Brooks,WR,7,0,23,South Carolina
2023,DAL,33,Damone Clark,LB,17,17,23,Louisiana State
2023,DAL,3,Brandin Cooks,WR,16,15,30,Oregon State
2023,DAL,98,Carl Davis,DE,3,0,31,Iowa
2023,DAL,34,Malik Davis,RB,3,0,24,Florida
2023,DAL,7,Trevon Diggs,DB,2,2,25,Alabama
2023,DAL,23,Rico Dowdle,RB,16,0,25,South Carolina
2023,DAL,71,Chuma Edoga,OT,17,6,26,Southern California
2023,DAL,32,Rashaan Evans,LB,9,1,26,Alabama
2023,DAL,48,Princeton Fant,TE,2,0,24,Tennessee
2023,DAL,93,Junior Fehoko,DT,0,0,23,San Jose State
2023,DAL,87,Jake Ferguson,TE,17,16,24,Wisconsin
2023,DAL,56,Dante Fowler Jr.,LB,17,0,29,Florida
2023,DAL,96,Neville Gallimore,DT,17,0,26,Oklahoma
2023,DAL,13,Michael Gallup,WR,17,13,27,Colorado State
2023,DAL,21,Stephon Gilmore,DB,17,17,33,South Carolina
2023,DAL,99,Chauncey Golston,DE,17,3,25,Iowa
2023,DAL,29,C.J. Goodwin,DB,5,0,33,California (PA)
2023,DAL,95,Johnathan Hankins,DT,14,14,31,Ohio State
2023,DAL,65,Sean Harlow,OG,1,0,28,Oregon State
2023,DAL,50,Devin Harper,LB,3,0,25,Oklahoma State
2023,DAL,89,Peyton Hendershot,TE,8,1,24,Indiana
2023,DAL,67,Brock Hoffman,OG,17,2,24,Virginia Tech
2023,DAL,28,Malik Hooker,DB,16,15,27,Ohio State
2023,DAL,19,Noah Igbinoghene,DB,5,0,23,Auburn
2023,DAL,46,Malik Jefferson,LB,3,0,26,Texas
2023,DAL,57,Buddy Johnson,LB,2,0,24,Texas A&M
2023,DAL,1,Jayron Kearse,DB,16,13,29,Clemson
2023,DAL,88,CeeDee Lamb,WR,17,17,24,Oklahoma
2023,DAL,15,Trey Lance,QB,0,0,23,North State Dakota
2023,DAL,90,Demarcus Lawrence,LB,17,17,31,Boise State
2023,DAL,2,Jourdan Lewis,DB,16,8,28,Michigan
2023,DAL,40,Hunter Luepke,RB,17,0,23,NorthState Dakota
2023,DAL,70,Zack Martin,OG,15,15,32,Notre Dame
2023,DAL,84,Sean McKeon,TE,9,0,25,Michigan
2023,DAL,24,Israel Mukuamu,DB,14,0,23,South Carolina Osa
2023,DAL,97,Odighizuwa,DT,17,17,25,UCLA
2023,DAL,11,Micah Parsons,DE,17,17,24,Penn State
2023,DAL,20,Tony Pollard,RB,17,17,26,Memphis
2023,DAL,4,Dak Prescott,QB,17,17,30,Mississippi State
2023,DAL,27,Sheldrick Redwine,DB,1,0,26,Miami
2023,DAL,76,Asim Richards,OT,8,0,23,North Carolina
2023,DAL,10,Cooper Rush,QB,7,0,29,Central Michigan
2023,DAL,47,Eric Saubert,TE,1,0,29,Drake
2023,DAL,86,Luke Schoonmaker,TE,17,0,25,Michigan
2023,DAL,37,Eric Scott,DB,0,0,24,Southern Mississippi
2023,DAL,44,Trent Sieg,LS,17,0,28,Colorado State
2023,DAL,58,Mazi Smith,DT,17,3,22,Michigan
2023,DAL,73,Tyler Smith,OG,14,14,22,Tulsa
2023,DAL,77,Tyron Smith,OT,13,13,32,Southern California
2023,DAL,78,Terence Steele,OT,17,17,26,Texas Tech
2023,DAL,30,Juanyeh Thomas,DB,16,1,23,Georgia Tech
2023,DAL,18,Jalen Tolbert,WR,17,6,24,South Alabama
2023,DAL,9,KaVontae Turpin,WR,16,0,27,Texas Christian
2023,DAL,55,Leighton Vander Esch,LB,5,5,26,Boise State
2023,DAL,42,Deuce Vaughn,RB,7,0,21,Kansas State
2023,DAL,79,Matt Waletzko,OT,1,0,23,North Dakota
2023,DAL,91,Tyrus Wheat,LB,12,0,23,Mississippi State
2023,DAL,54,Sam Williams,DE,17,0,24,Mississippi
2023,DAL,6,Donovan Wilson,DB,15,13,28,Texas A&M
2023,DAL,25,Nahshon Wright,DB,12,0,25,Oregon State
