season,team,number,player,position,height,weight,games,games_started,age,college
2026,DAL,5,Bryan Anger,P,6- 3,202,2,0,37,California
2026,DAL,17,Brandon Aubrey,K,6- 3,218,2,0,31,Notre Dame
2026,DAL,55,Jaishawn Barham,LB,6- 3,240,2,1,22,Michigan
2026,DAL,66,T.J. Bass,OG,6- 4,325,2,2,27,Oregon
2026,DAL,56,Cooper Beebe,C,6- 4,335,2,2,25,Kansas State
2026,DAL,14,Markquese Bell,DB,6- 3,205,2,0,27,Florida A&M
2026,DAL,26,DaRon Bland,DB,6- 0,197,2,2,27,Fresno State
2026,DAL,52,Tyler Booker,OG,6- 4,321,2,2,22,Alabama
2026,DAL,80,Camden Brown,WR,6- 2,204,0,0,--,Georgia Southern
2026,DAL,90,Jonathan Bullard,DT,6- 3,290,2,0,32,Florida
2026,DAL,21,Caelen Carson,DB,6- 0,195,0,0,24,Wake Forest
2026,DAL,11,Alijah Clark,DB,6-1,187,2,0,23,Syracuse
2026,DAL,97,Kenny Clark,DT,6- 3,314,2,2,30,UCLA
2026,DAL,65,Ajani Cornelius,OT,6- 4,310,0,0,24,Oregon
2026,DAL,31,Emari Demercado,RB,5- 9,215,2,0,27,Texas Christian
2026,DAL,13,Caleb Downs,DB,5- 11,206,2,2,21,Ohio State
2026,DAL,2,Decobie Durant,DB,5- 11,187,2,2,28,South Carolina State
2026,DAL,6,Donovan Ezeiruaku,LB,6- 2,248,2,2,23,Boston College
2026,DAL,87,Jake Ferguson,TE,6- 5,244,2,2,27,Wisconsin
2026,DAL,19,Ryan Flournoy,WR,6- 1,200,2,2,26,Southeast Missouri State
2026,DAL,7,Rashan Gary,LB,6- 5,277,2,2,28,Michigan
2026,DAL,32,Tyler Goodson,RB,5- 9,197,0,0,25,Iowa
2026,DAL,60,Tyler Guyton,OT,6- 7,322,2,2,25,Oklahoma
2026,DAL,24,Malik Hooker,DB,6- 2,212,1,1,30,Ohio State
2026,DAL,41,James Houston,LB,6- 1,241,1,0,27,Jackson State
2026,DAL,16,Sam Howell,QB,6- 1,220,0,0,26,North Carolina
2026,DAL,50,Shemar James,LB,6- 1,222,2,0,22,Florida
2026,DAL,77,Broderick Jones,OT,6- 5,311,2,0,25,Georgia
2026,DAL,88,CeeDee Lamb,WR,6-2,200,2,2,27,Oklahoma
2026,DAL,57,Malachi Lawrence,LB,6- 4,253,2,0,23,Central Florida
2026,DAL,51,Nick Leverett,OG,6- 4,310,2,0,29,Rice
2026,DAL,1,P.J. Locke,DB,5- 11,210,2,1,29,Texas
2026,DAL,30,Hunter Luepke,RB,6- 1,238,2,0,26,North Dakota State
2026,DAL,40,Von Miller,LB,6- 3,245,2,0,37,Texas A&M
2026,DAL,18,Jonathan Mingo,WR,6- 2,220,2,0,25,Mississippi
2026,DAL,91,Otito Ogbonnia,DT,6- 4,320,2,0,26,UCLA
2026,DAL,0,DeMarvion Overshown,LB,6- 2,220,1,1,26,Texas
2026,DAL,99,Lebbeus Overton,DT,6- 3,274,2,0,--,Alabama
2026,DAL,3,George Pickens,WR,6- 3,200,2,2,25,Georgia
2026,DAL,4,Dak Prescott,QB,6- 2,238,2,2,33,Mississippi State
2026,DAL,28,Shavon Revel,DB,6- 1,194,2,0,25,East Carolina
2026,DAL,86,Luke Schoonmaker,TE,6- 5,250,2,0,27,Michigan
2026,DAL,67,Drew Shelton,OT,6- 5,313,2,0,22,Penn State
2026,DAL,44,Trent Sieg,LS,6- 3,240,2,0,31,Colorado State
2026,DAL,89,Brevyn Spann-Ford,TE,6- 7,270,2,0,26,Minnesota
2026,DAL,23,Ameer Speed,DB,6- 3,215,2,0,26,Michigan State
2026,DAL,78,Terence Steele,OT,6-6,310,2,2,29,Texas Tech
2026,DAL,34,Jalen Thompson,DB,5- 11,190,2,2,28,Washington State
2026,DAL,9,KaVontae Turpin,WR,5- 9,153,2,0,30,Texas Christian
2026,DAL,59,Tyrus Wheat,LB,6- 2,260,1,0,26,Mississippi State
2026,DAL,33,Javonte Williams,RB,5- 10,220,2,2,26,North Carolina
2026,DAL,92,Quinnen Williams,DT,6- 3,303,2,2,28,Alabama
2026,DAL,53,Dee Winters,LB,5- 11,227,2,2,25,Texas Christian
2026,DAL,20,Malik Davis,RB,5- 11,202,0,0,27,Florida
2026,DAL,85,Princeton Fant,TE,6- 2,235,0,0,27,Tennessee
2026,DAL,94,Kelvin Gilliam,DT,6- 2,296,0,0,23,Virginia Tech
2026,DAL,72,Matt Hennessy,C,6- 4,295,0,0,28,Temple
2026,DAL,35,Marist Liufau,LB,6- 2,239,0,0,25,Notre Dame
2026,DAL,29,Devin Moore,DB,6- 3,198,0,0,22,Florida
2026,DAL,49,D'Andre Rogers,TE,6- 4,245,0,0,--,Texas Christian
2026,DAL,73,Tyler Smith,OG,6- 6,332,0,0,25,Tulsa
2026,DAL,25,Israel Abanikanda,RB,5-11,215,0,0,23,Pittsburgh
2026,DAL,45,Justin Barron,LB,6- 4,235,1,0,24,Syracuse
2026,DAL,95,Tommy Dunn,DT,6- 3,291,0,0,22,Kansas
2026,DAL,94,Elijah Garcia,DE,6- 5,302,0,0,28,Rice
2026,DAL,18,Jordan Hudson,WR,6- 1,191,0,0,22,Southern Methodist
2026,DAL,79,Marcellus Johnson,OT,6- 4,307,0,0,26,Missouri
2026,DAL,15,Derion Kendrick,DB,6- 0,190,0,0,26,Georgia
2026,DAL,58,Isaiah Land,DE,6- 4,225,0,0,26,Florida A&M
2026,DAL,10,Joe Milton,QB,6- 5,246,0,0,26,Tennessee
2026,DAL,84,James Mitchell,TE,6- 4,249,0,0,27,Virginia Tech
2026,DAL,64,Wanya Morris,OT,6- 6,307,0,0,25,Oklahoma
2026,DAL,96,Adedayo Odeleye,DT,6- 5,271,0,0,28,Loughborough
2026,DAL,42,Curtis Robinson,LB,6- 3,235,1,0,28,Stanford
2026,DAL,83,Anthony Smith,WR,6- 3,189,0,0,24,East Carolina
2026,DAL,27,Reddy Steward,DB,5- 11,178,0,0,25,Troy State
2026,DAL,71,Laken Tomlinson,OG,6- 3,323,0,0,34,Duke
2026,DAL,46,Michael Trigg,TE,6- 3,240,0,0,24,Baylor
